time,堤防天端からの高さ（m）
2025-09-13 23:00:00,-4.16
2025-09-13 23:10:00,-4.16
2025-09-13 23:20:00,-4.16
2025-09-13 23:30:00,-4.16
2025-09-13 23:40:00,-4.16
2025-09-13 23:50:00,-4.16
2025-09-14 00:00:00,-4.16
2025-09-14 00:10:00,-4.16
2025-09-14 00:20:00,-4.16
2025-09-14 00:30:00,-4.16
2025-09-14 00:40:00,-4.16
2025-09-14 00:50:00,-4.16
2025-09-14 01:00:00,-4.17
2025-09-14 06:30:00,-4.16
2025-09-14 06:40:00,-4.16
2025-09-14 06:50:00,-4.16
2025-09-14 07:00:00,-4.16
2025-09-14 07:10:00,-4.16
2025-09-14 07:20:00,-4.16
2025-09-14 07:30:00,-4.16
2025-09-14 07:40:00,-4.16
2025-09-14 07:50:00,-4.15
2025-09-14 08:00:00,-4.15
2025-09-14 08:10:00,-4.14
2025-09-14 08:20:00,-4.14
2025-09-14 08:30:00,-4.14
2025-09-14 08:40:00,-4.14
2025-09-14 08:50:00,-4.13
2025-09-14 09:00:00,-4.12
2025-09-14 09:10:00,-4.11
2025-09-14 09:20:00,-4.1
2025-09-14 09:30:00,-4.08
2025-09-14 09:40:00,-4.06
2025-09-14 09:50:00,-4.06
2025-09-14 10:00:00,-4.05
2025-09-14 10:10:00,-4.04
2025-09-14 10:20:00,-4.04
2025-09-14 10:30:00,-4.04
2025-09-14 10:40:00,-4.04
2025-09-14 10:50:00,-4.03
2025-09-14 11:00:00,-4.03
2025-09-14 11:10:00,-4.03
2025-09-14 11:20:00,-4.06
2025-09-14 11:30:00,-4.07
2025-09-14 11:40:00,-4.09
2025-09-14 11:50:00,-4.13
2025-09-14 12:00:00,-4.2
2025-09-15 00:00:00,-4.17
2025-09-16 00:00:00,-4.18
2025-09-17 00:00:00,-4.18
